,runid,N,E,m,B,H,rocauc,entropy,ccm,ccM,bias1,bias2,bias1_towards,bias2_towards,pseeds,crawled,supernode,pseeds_,ntours,mean_length_tour,min_length_tour,max_length_tour,mean_length_tour_0,mean_length_tour_1,b0,b1,h00,h11,h01,h10,B0,B1,H00,H11,H01,H10,h,precise_pseeds
10,1,2000,39600,20,0.1,0.1,0.999885344110987,0.0003652434615794147,0.9885057471264368,0.9941812136325852,0.49856874367500364,-0.002862512649992742,unbiased,unbiased,0.3,510,200,,100,11.76,1,65,11.414893617021276,17.166666666666668,0.84,0.16,0.14,0.01,0.09,0.76,0.9,0.1,0.21,0.0,0.09,0.69,0.21,0.35
11,1,2000,7984,4,0.3,0.6,0.3985241930941249,0.38793890626937805,0.32563510392609696,0.693089430894309,0.3196498099297316,-0.36070038014053685,majority,majority,0.3,383,200,,100,8.21,1,62,8.694444444444445,6.964285714285714,0.71,0.29,0.09,0.59,0.12,0.2,0.7,0.3,0.1,0.57,0.13,0.2,0.6699999999999999,0.29
12,1,2000,39600,20,0.5,0.1,1.0,-4.919997247575814e-06,1.0,1.0,0.5,0.0,unbiased,unbiased,0.4,674,200,,100,12.85,1,46,12.705882352941176,13.0,0.49,0.51,0.06,0.06,0.43,0.46,0.5,0.5,0.06,0.05,0.45,0.44,0.11,0.44
13,1,2000,78400,40,0.5,0.5,0.46398787623953186,1.1131346931574455,0.4744268077601411,0.4735099337748344,0.500483615596449,0.0009672311928979919,unbiased,unbiased,0.4,629,200,,100,11.73,1,60,8.777777777777779,14.145454545454545,0.48,0.52,0.29,0.21,0.26,0.23,0.5,0.5,0.27,0.24,0.27,0.23,0.51,0.41
14,1,2000,39600,20,0.5,0.8,1.0,0.001826026981747828,0.9967320261437909,0.996875,0.4999641419160511,-7.171616789776611e-05,unbiased,unbiased,0.4,548,200,,100,9.77,1,72,9.782608695652174,9.75925925925926,0.48,0.52,0.37,0.41,0.12,0.1,0.5,0.5,0.41,0.39,0.11,0.09,0.8,0.37
15,1,2000,39600,20,0.1,0.2,0.9984750504494588,0.0014540090741974982,0.9873417721518988,0.9927536231884058,0.4986334367906611,-0.00273312641867787,unbiased,unbiased,0.4,617,200,,100,13.13,1,66,12.87912087912088,15.666666666666666,0.85,0.15,0.02,0.29,0.59,0.1,0.9,0.1,0.01,0.38,0.52,0.09,0.39,0.41
16,1,2000,7984,4,0.1,0.1,0.9959427897233393,0.039852295918856175,0.8571428571428572,0.9964183381088825,0.4624302986805057,-0.07513940263898851,majority,majority,0.2,285,200,,100,7.74,1,37,7.568181818181818,9.0,0.83,0.17,0.1,0.01,0.12,0.76,0.9,0.1,0.16,0.01,0.09,0.74,0.17,0.24
17,1,2000,7984,4,0.3,0.8,0.9621970679483267,0.1951638870259094,0.5890804597701149,0.9258849557522124,0.38884086312096616,-0.22231827375806767,majority,majority,0.4,548,200,,100,11.86,1,74,12.243243243243244,10.76923076923077,0.66,0.34,0.22,0.6,0.05,0.13,0.7,0.3,0.18,0.64,0.06,0.12,0.8200000000000001,0.37
18,1,2000,7984,4,0.5,0.5,0.5135885052644209,0.4858071067984449,0.5157232704402516,0.5246422893481717,0.49571351683838233,-0.008572966323235431,unbiased,unbiased,0.4,535,200,,100,12.04,1,60,10.979166666666666,13.01923076923077,0.5,0.5,0.22,0.28,0.23,0.27,0.5,0.5,0.23,0.27,0.23,0.27,0.5,0.37
19,1,2000,78400,40,0.3,0.5,0.49857739195447653,0.8900871867370366,0.36592178770949724,0.6431226765799256,0.3626418861206303,-0.27471622775873955,majority,majority,0.4,635,200,,100,11.72,1,75,11.2,13.28,0.71,0.29,0.51,0.08,0.21,0.19,0.7,0.3,0.5,0.09,0.22,0.2,0.59,0.42
20,1,2000,78400,40,0.5,0.3,0.9999912469583181,0.0003479545875212093,0.9982668977469671,0.9932659932659933,0.5012555415237029,0.002511083047405841,unbiased,unbiased,0.4,629,200,,100,11.89,1,43,14.27450980392157,9.408163265306122,0.49,0.51,0.17,0.15,0.33,0.35,0.5,0.5,0.16,0.15,0.35,0.34,0.31,0.41
