,runid,N,E,m,B,H,rocauc,entropy,ccm,ccM,bias1,bias2,bias1_towards,bias2_towards,pseeds,crawled,supernode,pseeds_,ntours,mean_length_tour,min_length_tour,max_length_tour,mean_length_tour_0,mean_length_tour_1,b0,b1,h00,h11,h01,h10,B0,B1,H00,H11,H01,H10,h,precise_pseeds
11,1,2000,39600,20,0.5,0.9,1.0,-3.5868475902341247e-06,1.0,1.0,0.5,0.0,unbiased,unbiased,0.4,579,200,,100,11.22,1,47,2.0,11.505154639175258,0.36,0.64,0.24,0.65,0.05,0.05,0.5,0.5,0.44,0.45,0.05,0.06,0.89,0.39
12,1,2000,39600,20,0.1,0.1,0.997133975047509,0.007866881958528608,0.9736842105263158,0.9897959183673469,0.49589715536105033,-0.008205689277899322,unbiased,unbiased,0.3,450,200,,100,9.87,1,37,10.893333333333333,6.8,0.81,0.19,0.01,0.18,0.63,0.19,0.9,0.1,0.01,0.25,0.65,0.09,0.26,0.33
13,1,2000,39600,20,0.1,0.8,0.9947271622186965,0.08934889224093169,0.578512396694215,0.9952244508118434,0.3676042774311338,-0.26479144513773245,majority,majority,0.4,632,200,,100,12.14,1,49,11.168831168831169,15.391304347826088,0.91,0.09,0.01,0.9,0.01,0.07,0.9,0.1,0.02,0.88,0.02,0.08,0.9,0.42
14,1,2000,39600,20,0.5,0.9,1.0,-5.694596313561775e-06,1.0,1.0,0.5,0.0,unbiased,unbiased,0.4,566,200,,100,10.87,1,50,11.397849462365592,3.857142857142857,0.61,0.39,0.29,0.6,0.06,0.05,0.5,0.5,0.44,0.45,0.05,0.05,0.89,0.38
15,1,2000,7984,4,0.1,0.5,0.4866455751313384,0.2280758035190058,0.0992366412213741,0.8813688212927757,0.10119935592337387,-0.7976012881532523,majority,majority,0.3,354,200,,100,8.07,1,56,7.144736842105263,11.0,0.88,0.12,0.01,0.78,0.11,0.1,0.9,0.1,0.01,0.81,0.09,0.09,0.8200000000000001,0.28
16,1,2000,39600,20,0.1,0.4,0.8145788530465949,0.2132720095892399,0.45999999999999996,0.8933691756272402,0.33989247596599487,-0.3202150480680103,majority,majority,0.4,584,200,,100,10.86,1,72,12.0125,6.25,0.87,0.13,0.71,0.01,0.12,0.16,0.9,0.1,0.75,0.01,0.09,0.15,0.76,0.39
17,1,2000,7984,4,0.5,0.7,0.8385398636636934,0.25444020443237253,0.5934819897084048,0.503793626707132,0.5408686576369286,0.08173731527385728,minority,minority,0.4,558,200,,100,11.91,1,64,21.444444444444443,10.967032967032967,0.45,0.55,0.32,0.39,0.16,0.13,0.5,0.5,0.37,0.34,0.16,0.13,0.71,0.38
18,1,2000,78400,40,0.5,0.9,1.0,-4.168126712945572e-06,1.0,1.0,0.5,0.0,unbiased,unbiased,0.5,706,200,,100,12.58,1,65,9.0,12.76842105263158,0.4,0.6,0.58,0.31,0.05,0.06,0.5,0.5,0.44,0.44,0.06,0.06,0.88,0.45
19,1,2000,78400,40,0.5,0.3,0.9999986669972514,0.0027381572853711965,0.9982964224872232,1.0,0.4995737425404944,-0.0008525149190110833,unbiased,unbiased,0.4,574,200,,100,10.35,1,41,12.285714285714286,10.204301075268818,0.47,0.53,0.13,0.19,0.33,0.35,0.5,0.5,0.15,0.16,0.34,0.35,0.31,0.39
20,1,2000,39600,20,0.1,0.5,0.5148919411214493,0.27435356188357746,0.1711711711711712,0.843351548269581,0.16872088509316774,-0.6625582298136645,majority,majority,0.4,591,200,,100,10.95,1,64,10.341772151898734,13.238095238095237,0.89,0.11,0.79,0.01,0.1,0.09,0.9,0.1,0.81,0.01,0.09,0.09,0.8200000000000001,0.4
21,1,2000,7984,4,0.1,0.1,0.995256309148265,0.020171556860204415,0.9,0.9873817034700315,0.47685107805448773,-0.046297843891024544,majority,unbiased,0.3,432,200,,100,11.74,1,86,12.271604938271604,9.473684210526315,0.84,0.16,0.01,0.14,0.7,0.14,0.9,0.1,0.01,0.18,0.72,0.09,0.19,0.32
22,1,2000,7974,4,0.3,1.0,1.0,-1.6951418589717815e-06,1.0,1.0,0.5,0.0,unbiased,unbiased,0.3,455,200,,100,11.3,1,79,9.425,12.55,0.43,0.57,0.69,0.31,0.0,0.0,0.7,0.3,0.3,0.7,0.0,0.0,1.0,0.33
23,1,2000,77236,40,0.3,0.0,1.0,-2.4041713001089232e-06,1.0,0.9871414441147379,0.5032354405176704,0.006470881035340947,unbiased,unbiased,0.3,469,200,,100,9.35,1,32,9.14,9.56,0.58,0.42,0.0,0.0,0.28,0.72,0.7,0.3,0.0,0.0,0.3,0.7,0.0,0.33
24,1,2000,78400,40,0.1,0.4,0.896426977752279,0.14132522055967012,0.5462962962962963,0.9363166953528399,0.368468574991132,-0.26306285001773605,majority,majority,0.4,530,200,,100,9.54,1,36,9.420289855072463,9.806451612903226,0.87,0.13,0.01,0.7,0.18,0.11,0.9,0.1,0.01,0.75,0.15,0.09,0.76,0.36
25,1,2000,77899,40,0.3,1.0,1.0,-1.7889639910744566e-06,1.0,1.0,0.5,0.0,unbiased,unbiased,0.3,492,200,,100,10.21,1,61,11.628571428571428,9.446153846153846,0.47,0.53,0.33,0.67,0.0,0.0,0.7,0.3,0.7,0.3,0.0,0.0,1.0,0.35
26,1,2000,78400,40,0.5,0.6,0.27633956808529864,1.0592841811840004,0.41316526610644255,0.3080645161290323,0.57286218107331,0.14572436214662005,minority,minority,0.3,466,200,,100,8.61,1,45,8.666666666666666,8.1,0.57,0.43,0.34,0.25,0.18,0.23,0.5,0.5,0.3,0.3,0.2,0.2,0.6,0.33
27,1,2000,78400,40,0.3,0.5,0.5170712956632072,0.7368552011636762,0.39449541284403666,0.6240266963292547,0.38732140352283434,-0.22535719295433143,majority,majority,0.4,574,200,,100,10.59,1,70,10.441176470588236,10.666666666666666,0.65,0.35,0.12,0.43,0.21,0.23,0.7,0.3,0.09,0.48,0.22,0.21,0.57,0.39
28,1,2000,78400,40,0.5,0.7,0.9024890314767403,0.0167144015580144,0.9712746858168761,0.1671597633136095,0.853166984325463,0.706333968650926,minority,minority,0.4,567,200,,100,10.26,1,45,14.333333333333334,10.1340206185567,0.42,0.58,0.24,0.45,0.14,0.17,0.5,0.5,0.33,0.36,0.14,0.17,0.69,0.38
29,1,2000,39318,20,0.3,0.0,1.0,0.005573935519428021,0.9730639730639731,1.0,0.49317406143344705,-0.013651877133105795,unbiased,unbiased,0.4,557,200,,100,11.49,1,72,10.813953488372093,12.0,0.6,0.4,0.0,0.0,0.72,0.28,0.7,0.3,0.0,0.0,0.7,0.3,0.0,0.38
30,1,2000,39600,20,0.1,0.3,0.9695817490494296,0.07713474174607497,0.6705882352941177,0.9667300380228137,0.40956498575907224,-0.18087002848185557,majority,majority,0.4,663,200,,100,13.15,1,61,13.105882352941176,13.4,0.87,0.13,0.01,0.59,0.29,0.11,0.9,0.1,0.01,0.64,0.26,0.09,0.65,0.43
31,1,2000,7984,4,0.3,0.1,0.9987120190892329,0.03695567950844565,0.9537953795379538,0.9929577464788732,0.4899416196081709,-0.020116760783658275,unbiased,unbiased,0.4,645,200,,100,14.64,1,84,13.825,15.183333333333334,0.65,0.35,0.06,0.03,0.28,0.62,0.7,0.3,0.08,0.03,0.27,0.62,0.11,0.42
32,1,2000,39600,20,0.3,0.6,0.27194941527907346,0.560750577178723,0.20512820512820518,0.5700110253583242,0.26463401291075533,-0.4707319741784893,majority,majority,0.4,542,200,,100,10.52,1,47,12.361702127659575,8.88679245283019,0.66,0.34,0.53,0.12,0.21,0.14,0.7,0.3,0.56,0.11,0.19,0.14,0.67,0.37
33,1,2000,39489,20,0.5,1.0,0.5,-2.83857413584141e-06,1.0,0.0,1.0,1.0,minority,minority,0.3,412,200,,100,10.59,1,46,6.0,10.636363636363637,0.01,0.99,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.31
34,1,2000,78400,40,0.1,0.4,0.8823609086056202,0.18621837986251577,0.5700934579439252,0.9266837169650469,0.38088064643195535,-0.23823870713608933,majority,majority,0.4,520,200,,100,9.73,1,37,9.962962962962964,8.736842105263158,0.87,0.13,0.68,0.02,0.1,0.2,0.9,0.1,0.74,0.01,0.09,0.16,0.75,0.36
35,1,2000,39600,20,0.3,0.5,0.49493083798492066,0.9317196630483965,0.3434065934065934,0.6511134676564156,0.34529880979930927,-0.30940238040138146,majority,majority,0.3,493,200,,100,9.15,1,46,9.608695652173912,8.75925925925926,0.66,0.34,0.46,0.1,0.23,0.21,0.7,0.3,0.5,0.09,0.21,0.2,0.59,0.35
36,1,2000,78400,40,0.3,0.2,1.0,-2.381118001189552e-06,1.0,1.0,0.5,0.0,unbiased,unbiased,0.4,635,200,,100,12.12,1,49,10.52,12.653333333333334,0.62,0.38,0.06,0.18,0.48,0.28,0.7,0.3,0.04,0.21,0.48,0.26,0.25,0.42
37,1,2000,78400,40,0.5,0.8,0.9420926361143752,4.438036566304266,0.020270270270270285,1.0,0.01986754966887419,-0.9602649006622518,majority,majority,0.3,508,200,,100,10.06,1,45,10.121212121212121,4.0,0.63,0.37,0.25,0.53,0.11,0.1,0.5,0.5,0.39,0.39,0.1,0.11,0.78,0.35
38,1,2000,39600,20,0.5,0.1,1.0,-4.70875268712997e-06,1.0,1.0,0.5,0.0,unbiased,unbiased,0.4,592,200,,100,11.41,1,50,1.0,11.515151515151516,0.46,0.54,0.05,0.07,0.47,0.41,0.5,0.5,0.05,0.06,0.44,0.45,0.11,0.4
39,1,2000,7984,4,0.5,0.9,0.9991158603873924,0.013839513501398906,0.9792746113989638,0.9411764705882353,0.5099190604665926,0.019838120933185235,unbiased,unbiased,0.4,535,200,,100,12.04,1,76,11.84375,16.75,0.69,0.31,0.69,0.22,0.05,0.05,0.5,0.5,0.45,0.45,0.05,0.05,0.9,0.37
40,1,2000,39600,20,0.1,0.4,0.7597407698350354,0.20464826855298826,0.3894736842105263,0.8824626865671642,0.30620532061080485,-0.38758935877839024,majority,majority,0.4,633,200,,100,11.38,1,67,10.54054054054054,13.76923076923077,0.87,0.13,0.01,0.72,0.16,0.11,0.9,0.1,0.01,0.75,0.15,0.09,0.76,0.42
41,1,2000,78400,40,0.5,0.4,0.9838764553296737,0.1395446424137988,0.915702479338843,0.9372262773722628,0.4941919520770934,-0.01161609584581329,unbiased,unbiased,0.3,510,200,,100,9.62,1,32,10.5,9.5,0.44,0.56,0.16,0.25,0.31,0.28,0.5,0.5,0.2,0.2,0.3,0.3,0.4,0.35
42,1,2000,78400,40,0.5,0.7,0.8493184574339074,0.006089261060554397,0.9881154499151104,0.0942857142857143,0.9128920797536939,0.8257841595073878,minority,minority,0.4,511,200,,100,9.48,1,49,13.5,9.22340425531915,0.42,0.58,0.43,0.26,0.14,0.17,0.5,0.5,0.34,0.35,0.15,0.16,0.69,0.36
43,1,2000,39600,20,0.1,0.1,0.9990001495103535,1.1917698926167948e-05,1.0,0.98992673992674,0.5025310630464795,0.005062126092959025,unbiased,unbiased,0.4,659,200,,100,14.84,1,120,12.776470588235295,26.533333333333335,0.82,0.18,0.19,0.01,0.12,0.68,0.9,0.1,0.24,0.0,0.1,0.66,0.24,0.43
44,1,2000,7984,4,0.5,0.2,0.9816930650116424,0.11225940440114156,0.9008379888268156,0.9270998415213946,0.4928165355903882,-0.01436692881922369,unbiased,unbiased,0.3,453,200,,100,10.0,1,107,10.5,5.5,0.57,0.43,0.09,0.12,0.41,0.38,0.5,0.5,0.1,0.1,0.4,0.4,0.2,0.33
45,1,2000,78400,40,0.3,0.7,0.9997893595601333,0.1885486520452245,0.5644699140401146,0.972972972972973,0.3671485417820984,-0.2657029164358032,majority,majority,0.4,526,200,,100,9.25,1,44,10.755555555555556,8.018181818181818,0.65,0.35,0.16,0.55,0.11,0.18,0.7,0.3,0.14,0.6,0.1,0.16,0.74,0.36
46,1,2000,78400,40,0.5,0.9,1.0,-5.685069698996097e-06,1.0,1.0,0.5,0.0,unbiased,unbiased,0.4,574,200,,100,10.93,1,43,11.164835164835164,8.555555555555555,0.61,0.39,0.28,0.6,0.05,0.06,0.5,0.5,0.44,0.45,0.05,0.06,0.89,0.39
47,1,2000,39600,20,0.5,0.8,1.0,0.0013398984359171836,0.9982486865148862,0.9985422740524781,0.49992648515959115,-0.00014702968081770567,unbiased,unbiased,0.4,543,200,,100,10.26,1,51,,10.26,0.42,0.58,0.29,0.5,0.11,0.1,0.5,0.5,0.39,0.4,0.1,0.11,0.79,0.37
48,1,2000,78400,40,0.3,0.8,1.0,0.0010788698419352293,0.987987987987988,1.0,0.49697885196374625,-0.006042296072507529,unbiased,unbiased,0.4,537,200,,100,9.77,1,45,8.928571428571429,10.379310344827585,0.64,0.36,0.21,0.57,0.07,0.15,0.7,0.3,0.18,0.63,0.07,0.12,0.81,0.37
49,1,2000,39600,20,0.3,0.1,1.0,-2.50547155968533e-06,1.0,1.0,0.5,0.0,unbiased,unbiased,0.3,443,200,,100,8.99,1,41,8.558823529411764,9.212121212121213,0.6,0.4,0.06,0.04,0.28,0.62,0.7,0.3,0.1,0.03,0.27,0.6,0.13,0.32
50,1,2000,7977,4,0.5,0.0,1.0,0.0004867002013893517,1.0,1.0,0.5,0.0,unbiased,unbiased,0.3,390,200,,100,8.7,1,46,9.625,8.619565217391305,0.47,0.53,0.0,0.0,0.49,0.51,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.29
